Name,Type,Default,Doc
*columns,str,"""1 1""","The list of weights for each column.
For example, `""1 2""` creates a grid which is 2 columns wide:
<ul>
<li>1fr</li>
<li>2fr</li>
</ul>"
columns[mobile],str,"""1""","The list of weights for each column, when displayed on a mobile device.
The syntax is the same as for <i>columns</i>."
gap,str,"""0.5rem""",The size of the gap between the columns.
>shared,,,
